Sourcerecord ID;Source Title;Print-ISSN;E-ISSN;Titles discontinued by Scopus due to quality issues;Coverage;"2019 SJR";"2019 SNIP";"2020 SJR";"2020 SNIP";"2021 SJR";"2021 SNIP";2021 CiteScore;All Science Journal Classification Codes (ASJC);;;;;;;;;;;;;
101076;2000 IEEE Wireless Communications and Networking Conference;;;;2002, 2000;;;;;;;;"2200; ";;;;;;;;;;;;;
78851;4th International Conference COPPER 99-COBRE 99;;;;2002, 1999;;;;;;;;"2200; ";;;;;;;;;;;;;
1000147108;8th Korea-Russia International Symposium on Science and Technology - Proceedings: KORUS 2004;;;;2004-2005;;;;;;;;"2200; ";;;;;;;;;;;;;
50013;AACE International Transactions;15287106;;;2002-2013, 1996-1999, 1994, 1991-1992, 1989, 1987, 1977-1985;0.125;;;;;;;"2200; ";;;;;;;;;;;;;
74842;ACM International Conference on Computer Graphics, Virtual Reality and Visualisation in Africa;;;;2006-2007, 2003-2004, 2001;;;;;;;;"1704; 1709; ";;;;;;;;;;;;;
11600154611;ACM International Conference Proceeding Series;;;;1999-2020, 1996-1997;0.200;0.416;0.182;0.367;0.232;0.310;1.0;"1705; 1707; 1709; 1712; ";;;;;;;;;;;;;
80117;ACM SIGDOC Annual International Conference on Computer Documentation, Proceedings;;;;2001-2002, 1996-1997;;;;;;;;"1700; ";;;;;;;;;;;;;
55086;ACM SIGPLAN/SIGSOFT Workshop on Program Analysis for Software Tools and Engineering;;;;2010-2011, 2007-2008, 2004-2005, 2001-2002, 1998;;;;;;;;"1712; ";;;;;;;;;;;;;
78421;ACM Symposium on Virtual Reality Software and Technology, Proceedings, VRST;;;;2001-2002, 1999, 1997;;;;;;;;"1700; ";;;;;;;;;;;;;
65737;ACM/SIGDA International Symposium on Field Programmable Gate Arrays - FPGA;;;;2010-2014, 1995-2008;;;;;;;;"1700; ";;;;;;;;;;;;;
22678;ACS Division of Environmental Chemistry, Preprints;00933066;;;1996-2004, 1973-1980;;;;;;;;"1500; ";;;;;;;;;;;;;
60277;ACS National Meeting Book of Abstracts;00657727;;;2004-2011, 1999-2001;;;;;;;;"1500; 1600; ";;;;;;;;;;;;;
23322;Advances in Air Pollution;13695886;;;2000-2003;;;;;;;;"2200; ";;;;;;;;;;;;;
14463;Advances in Earthquake Engineering;1361617X;;;2005, 2003, 2001, 1997, 1995;;;;;;;;"1909; 2205; ";;;;;;;;;;;;;
110368;AIAA/IEEE Digital Avionics Systems Conference - Proceedings;;;;1995-2021, 1992;0.199;1.035;0.247;0.749;0.406;0.656;1.6;"2208; 2202; ";;;;;;;;;;;;;
93856;AIChE Ethylene Producers Conference Proceedings;;;;2001-2015, 1999;;;;;;;;"1500; 1600; ";;;;;;;;;;;;;
110734;AIChE Symposium Series;00658812;;;2002, 1972-1992;0.101;;;;;;;"1500; 1600; ";;;;;;;;;;;;;
16328;AIChE, Ammonia Plant Safty and Related Facilities v12 (CEP Tech Manual);0099541X;;;2004-2017, 1998-2002, 1996, 1987-1993, 1984, 1977-1981, 1970;0.100;0.000;0.101;0.024;0.101;0.017;;"2209; 1506; 1508; 2213; ";;;;;;;;;;;;;
26916;AIP Conference Proceedings;0094243X;15517616;;2003-2020, 2000-2001, 1993, 1983-1984, 1974-1978;0.190;0.380;0.177;0.332;0.189;0.262;0.8;"3100; ";;;;;;;;;;;;;
145236;AISTech - Iron and Steel Technology Conference Proceedings;15516997;;;2009-2019, 2004-2007;0.191;0.278;0.198;0.202;0.183;0.177;0.2;"2209; ";;;;;;;;;;;;;
12414;American Astronautical Society, Scientific Technology Series;00657425;;;2004-2006, 1996-2002, 1994, 1983-1984, 1981, 1971-1978, 1969;0.125;;;;;;;"2202; ";;;;;;;;;;;;;
13108;American Society of Mechanical Engineers, Aerospace Division (Publication) AD;07334230;;;2003-2006, 1990-2001, 1981-1988;;;;;;;;"1912; 2210; ";;;;;;;;;;;;;
16289;American Society of Mechanical Engineers, Fuels and Combustion Technologies Division (Publication) FACT;1066503X;;;1998-2000, 1996, 1990-1994, 1987-1988;;;;;;;;"2200; ";;;;;;;;;;;;;
19900;American Society of Mechanical Engineers, Heat Transfer Division, (Publication) HTD;02725673;;;1979-2006;0.125;;;;;;;"1507; 2210; ";;;;;;;;;;;;;
19903;American Society of Mechanical Engineers, Pressure Vessels and Piping Division (Publication) PVP;0277027X;;;2010-2019, 2008, 1979-2006;0.232;0.520;0.223;0.461;0.224;0.341;0.6;"2210; ";;;;;;;;;;;;;
75666;American Society of Mechanical Engineers, Textile Engineering Division (Publication) TED;;;;2006, 2002-2004;;;;;;;;"2200; ";;;;;;;;;;;;;
94330;Annual ACM Conference on Assistive Technologies, Proceedings;;;;2002, 2000, 1998, 1996;;;;;;;;"2200; ";;;;;;;;;;;;;
80646;Annual ACM Symposium on Parallel Algorithms and Architectures;;;;1995-2004;;;;;;;;"2213; 1712; ";;;;;;;;;;;;;
60139;Annual Conference for Protective Relay Engineers;;;;2004, 1981-1986;;;;;;;;"2200; ";;;;;;;;;;;;;
50064;Annual Conference of the North American Fuzzy Information Processing Society - NAFIPS;10987789;;;2015, 1999-2011, 1997, 1995;;;;;;;;"2600; 1700; ";;;;;;;;;;;;;
4000148004;Annual Forum Proceedings - AHS International;15522938;;;2005-2018;0.146;0.438;0.158;0.573;0.139;0.279;;"2200; ";;;;;;;;;;;;;
13105;Annual Forum Proceedings - American Helicopter Society;07334249;;;2004, 1994-1999, 1990-1992, 1987, 1980-1985;0.105;;;;;;;"2202; 3313; ";;;;;;;;;;;;;
86392;Annual Fuels and Lubes Asia Conference and Exhibition;;;;2016, 2013, 2009-2011, 2002-2007;0.101;;;;;;;"2100; ";;;;;;;;;;;;;
120079;Annual IEEE Semiconductor Thermal Measurement and Management Symposium;10652221;;;1995-2017;0.186;0.557;0.250;0.929;;;;"2208; 3105; ";;;;;;;;;;;;;
21660;Annual Meeting - Council of Logistics Management;08986614;;;2002-2003, 2000, 1991;;;;;;;;"1400; ";;;;;;;;;;;;;
101491;Annual Meeting - Technical Section, Canadian Pulp and Paper Association, Preprints;14947722;;;2004-2007, 1980-2002;;;;;;;;"2209; 2214; ";;;;;;;;;;;;;
110391;Annual North American Waste To Energy Conference, NAWTEC;;;;2002-2003;;;;;;;;"2105; ";;;;;;;;;;;;;
53842;Annual Technical Conference - ANTEC, Conference Proceedings;;;;2009-2019, 2003-2007, 1994-1998, 1991;0.131;0.187;0.118;0.104;0.110;0.076;0.1;"2507; 1500; ";;;;;;;;;;;;;
76356;Appita Annual Conference;14435454;;;2004-2013;;;;;;;;"2214; ";;;;;;;;;;;;;
74806;APPITA Annual General Conference;;;;1998-2003;;;;;;;;"2200; 1500; ";;;;;;;;;;;;;
18719;AP-S International Symposium (Digest) (IEEE Antennas and Propagation Society);15223965;;;2011-2015, 2009, 1983-2007, 1978-1981, 1972-1973, 1963-1970;0.108;;;;;;;"2208; ";;;;;;;;;;;;;
110421;ASHRAE Transactions;00012505;;;1989-2019, 1969-1987;0.288;0.685;0.179;0.290;0.161;0.185;0.6;"2210; 2215; ";;;;;;;;;;;;;
94338;ASM Conference Proceedings: Joining of Advanced and Specialty Materials;;;;2004-2005, 2001, 1998;;;;;;;;"2500; ";;;;;;;;;;;;;
63823;ASM Proceedings of the International Conference: Trends in Welding Research;;;;2013, 2009, 2005, 2002, 1998;;;;;;;;"2210; 2500; ";;;;;;;;;;;;;
14507;Asphalt Paving Technology: Association of Asphalt Paving Technologists-Proceedings of the Technical Sessions;02702932;;;1999-2018, 1996, 1991-1992, 1977-1983;0.247;0.339;0.214;0.428;0.326;0.480;1.4;"2205; ";;;;;;;;;;;;;
15291;ASQ Annual Quality Congress Proceedings;10807764;;;2002-2003;;;;;;;;"2213; ";;;;;;;;;;;;;
93910;AUTOTESTCON (Proceedings);07347510;;;2007-2015, 1995-2005, 1993, 1989-1991, 1980-1987;0.125;;;;;;;"2208; 1706; ";;;;;;;;;;;;;
27248;Biennial University/Government/Industry Microelectronics Symposium - Proceedings;07496877;;;2012, 2010, 2008, 2003, 2001, 1999, 1997, 1995;;;;;;;;"2208; ";;;;;;;;;;;;;
59836;Bioengineering, Proceedings of the Northeast Conference;1071121X;;;2009, 1993-2007, 1987-1991, 1985, 1980-1982;0.113;;;;;;;"1502; ";;;;;;;;;;;;;
26665;Canadian Conference on Electrical and Computer Engineering;08407789;;;2013-2018, 1993-2011;0.182;0.542;0.203;0.668;0.205;0.334;1.4;"2208; 1708; ";;;;;;;;;;;;;
21034;Ceramic Engineering and Science Proceedings;01966219;;;1993-2019, 1990, 1982-1988;0.146;0.149;0.128;0.161;0.166;0.300;;"2505; 2503; ";;;;;;;;;;;;;
21100218356;CEUR Workshop Proceedings;16130073;;;2000-2020, 1998, 1994-1995, 1989;0.177;0.309;0.177;0.384;0.228;0.317;1.1;"1700; ";;;;;;;;;;;;;
