code;Description;Supergroup
1000;General;
11**;Agricultural and Biological Sciences ;Life Sciences
12**;Arts and Humanities ;Social Sciences
13**;Biochemistry, Genetics and Molecular Biology ;Life Sciences
14**;Business, Management and Accounting ;Social Sciences
15**;Chemical Engineering ;Physical Sciences
16**;Chemistry ;Physical Sciences
17**;Computer Science ;Physical Sciences
18**;Decision Sciences ;Social Sciences
19**;Earth and Planetary Sciences ;Physical Sciences
20**;Economics, Econometrics and Finance ;Social Sciences
21**;Energy ;Physical Sciences
22**;Engineering ;Physical Sciences
23**;Environmental Science ;Physical Sciences
24**;Immunology and Microbiology ;Life Sciences
25**;Materials Science ;Physical Sciences
26**;Mathematics ;Physical Sciences
27**;Medicine ;Health Sciences
28**;Neuroscience ;Life Sciences
29**;Nursing ;Health Sciences
30**;Pharmacology, Toxicology and Pharmaceutics ;Life Sciences
31**;Physics and Astronomy ;Physical Sciences
32**;Psychology ;Social Sciences
33**;Social Sciences ;Social Sciences
34**;Veterinary ;Health Sciences
35**;Dentistry ;Health Sciences
36**;Health Professions ;Health Sciences
