Given credit (NT$);Education;Age;Past, monthly payment (-1);Past, monthly payment (-2);Past, monthly bill (-1);Past, monthly bill (-2);Prev. payment in NT$ (-1);Prev. payment in NT$ (-2);Y;Gender_female;Gender_male;Marital status_married;Marital status_others;Marital status_single
90000.0;2;34;0.0;0.0;29239.0;14027.0;1518.0;1500.0;0;1;0;0;0;1
50000.0;2;37;0.0;0.0;46990.0;48233.0;2000.0;2019.0;0;1;0;1;0;0
50000.0;1;37;0.0;0.0;64400.0;57069.0;2500.0;1815.0;0;0;1;0;0;1
100000.0;2;23;0.0;-1.0;11876.0;380.0;380.0;601.0;0;1;0;0;0;1
140000.0;3;28;0.0;0.0;11285.0;14096.0;3329.0;0.0;0;1;0;1;0;0
20000.0;3;35;-2.0;-2.0;0.0;0.0;0.0;0.0;0;0;1;0;0;1
200000.0;3;34;0.0;0.0;11073.0;9787.0;2306.0;12.0;0;1;0;0;0;1
250000.0;1;29;0.0;0.0;70887.0;67060.0;3000.0;3000.0;0;0;1;0;0;1
20000.0;1;24;0.0;0.0;15376.0;18010.0;3200.0;0.0;1;0;1;0;0;1
360000.0;1;49;1.0;-2.0;0.0;0.0;0.0;0.0;0;1;0;1;0;0
180000.0;1;29;1.0;-2.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1
130000.0;3;39;0.0;0.0;38358.0;27688.0;3000.0;1537.0;0;1;0;0;0;1
120000.0;2;39;-1.0;-1.0;316.0;316.0;316.0;316.0;1;1;0;1;0;0
90000.0;1;23;0.0;0.0;4744.0;7070.0;5757.0;0.0;0;0;1;0;0;1
50000.0;3;23;0.0;0.0;47620.0;41810.0;1973.0;1426.0;0;0;1;0;0;1
60000.0;1;27;1.0;-2.0;-109.0;-425.0;0.0;1000.0;1;0;1;0;0;1
50000.0;3;30;0.0;0.0;22541.0;16138.0;1300.0;1300.0;0;1;0;0;0;1
50000.0;3;47;-1.0;-1.0;650.0;3415.0;3415.0;3421.0;0;1;0;1;0;0
50000.0;1;26;0.0;0.0;15329.0;16575.0;1500.0;1500.0;0;0;1;0;0;1
100000.0;1;32;0.0;0.0;93036.0;84071.0;3023.0;3511.0;0;0;1;0;0;1
160000.0;1;30;-1.0;-1.0;30265.0;-131.0;131.0;396.0;0;0;1;0;0;1
60000.0;2;22;0.0;0.0;15054.0;9806.0;1500.0;1518.0;0;1;0;0;0;1
50000.0;1;25;1.0;-1.0;0.0;780.0;780.0;0.0;1;0;1;0;0;1
280000.0;1;31;-1.0;-1.0;498.0;9075.0;9075.0;0.0;0;0;1;0;0;1
70000.0;1;25;0.0;0.0;67521.0;66999.0;3000.0;4500.0;0;1;0;0;0;1
10000.0;2;22;0.0;0.0;1877.0;3184.0;1500.0;2927.0;0;0;1;0;0;1
140000.0;2;37;0.0;0.0;59504.0;61544.0;3000.0;3000.0;0;1;0;1;0;0
40000.0;1;30;0.0;0.0;18927.0;21295.0;3000.0;5000.0;0;1;0;0;0;1
210000.0;1;29;-2.0;-2.0;0.0;0.0;0.0;0.0;1;0;1;0;0;1
20000.0;1;22;0.0;0.0;14028.0;16484.0;3000.0;0.0;1;1;0;0;0;1
20000.0;1;24;0.0;0.0;17447.0;18479.0;1318.0;1315.0;0;0;1;0;0;1
100000.0;3;43;0.0;0.0;61559.0;51163.0;2000.0;1606.0;0;1;0;0;1;0
310000.0;2;49;-2.0;-2.0;13465.0;7867.0;7875.0;7600.0;0;1;0;1;0;0
500000.0;1;45;-2.0;-2.0;1905.0;3640.0;3640.0;162.0;0;1;0;1;0;0
180000.0;3;34;0.0;0.0;16386.0;15793.0;8500.0;1500.0;0;1;0;1;0;0
500000.0;3;28;0.0;0.0;22848.0;23638.0;1516.0;1300.0;1;1;0;1;0;0
70000.0;2;39;0.0;0.0;70800.0;72060.0;4025.0;2095.0;0;0;1;1;0;0
50000.0;2;46;0.0;0.0;28718.0;29166.0;1000.0;0.0;1;1;0;1;0;0
130000.0;2;51;-1.0;-1.0;99.0;0.0;0.0;0.0;0;1;0;1;0;0
200000.0;1;57;-2.0;-2.0;152519.0;148751.0;0.0;0.0;1;0;1;1;0;0
130000.0;3;29;1.0;-2.0;-190.0;-9850.0;0.0;0.0;0;1;0;0;0;1
80000.0;1;31;-1.0;-1.0;780.0;0.0;0.0;390.0;0;0;1;0;0;1
200000.0;2;32;-1.0;-1.0;9076.0;5787.0;5818.0;15.0;0;1;0;1;0;0
290000.0;1;37;1.0;-2.0;0.0;0.0;0.0;3155.0;0;1;0;0;0;1
20000.0;2;24;0.0;0.0;14619.0;17216.0;2850.0;0.0;0;0;1;0;0;1
50000.0;3;25;-1.0;0.0;42838.0;37225.0;1759.0;1779.0;0;0;1;0;0;1
300000.0;1;45;-1.0;-1.0;291.0;291.0;291.0;291.0;0;1;0;1;0;0
30000.0;2;22;0.0;0.0;28387.0;29612.0;1686.0;1400.0;1;1;0;0;0;1
240000.0;2;44;1.0;-2.0;0.0;0.0;0.0;0.0;1;1;0;0;0;1
360000.0;1;26;0.0;0.0;23411.0;27796.0;4796.0;3400.0;0;1;0;0;0;1
60000.0;3;30;0.0;0.0;26324.0;27471.0;1576.0;1213.0;1;0;1;0;0;1
400000.0;2;44;0.0;0.0;131595.0;139060.0;10700.0;3.0;0;1;0;1;0;0
50000.0;3;49;0.0;0.0;48909.0;47863.0;1676.0;1302.0;0;1;0;0;0;1
160000.0;2;33;0.0;0.0;130028.0;107808.0;4400.0;3547.0;0;0;1;0;0;1
360000.0;1;45;-1.0;-1.0;390.0;1170.0;1170.0;0.0;1;1;0;1;0;0
160000.0;2;32;0.0;0.0;3826.0;4751.0;1147.0;2000.0;0;1;0;0;0;1
280000.0;1;39;-1.0;-1.0;7524.0;0.0;0.0;3968.0;0;1;0;0;0;1
100000.0;1;27;-2.0;-2.0;-2000.0;5555.0;7555.0;0.0;0;1;0;0;0;1
160000.0;2;37;-1.0;-1.0;880.0;1602.0;1602.0;840.0;0;1;0;1;0;0
60000.0;2;23;0.0;0.0;45648.0;46850.0;1937.0;1301.0;0;1;0;0;0;1
90000.0;2;35;0.0;0.0;83725.0;85996.0;3621.0;3597.0;0;0;1;0;0;1
360000.0;1;43;-1.0;-1.0;3967.0;8322.0;8339.0;3394.0;0;0;1;1;0;0
150000.0;1;27;0.0;0.0;86009.0;86108.0;4031.0;10006.0;0;0;1;0;0;1
50000.0;3;22;0.0;0.0;18722.0;18160.0;1411.0;1194.0;0;1;0;1;0;0
20000.0;2;38;0.0;0.0;17973.0;19367.0;1699.0;1460.0;1;0;1;1;0;0
140000.0;1;32;-2.0;-2.0;672.0;10212.0;10212.0;850.0;0;0;1;0;0;1
50000.0;3;22;0.0;0.0;44698.0;42254.0;1767.0;1362.0;1;1;0;0;0;1
70000.0;2;24;-1.0;-1.0;5580.0;0.0;0.0;0.0;0;1;0;0;0;1
80000.0;2;36;-1.0;-1.0;6108.0;2861.0;2861.0;3279.0;0;1;0;1;0;0
350000.0;1;52;-1.0;-1.0;713.0;2272.0;2272.0;722.0;0;0;1;0;0;1
360000.0;2;35;1.0;-2.0;-103.0;-103.0;0.0;0.0;0;0;1;1;0;0
330000.0;1;31;0.0;0.0;105879.0;108431.0;9260.0;0.0;0;1;0;1;0;0
50000.0;3;47;0.0;0.0;13244.0;14722.0;2000.0;1000.0;0;0;1;1;0;0
100000.0;1;24;0.0;0.0;52128.0;52692.0;2000.0;2677.0;0;1;0;0;0;1
50000.0;2;41;0.0;0.0;19015.0;19294.0;1340.0;1305.0;0;0;1;0;0;1
240000.0;1;28;-1.0;-1.0;326.0;326.0;326.0;326.0;0;0;1;0;0;1
240000.0;2;38;0.0;0.0;50254.0;51445.0;2000.0;3000.0;0;1;0;0;0;1
450000.0;1;40;1.0;-2.0;0.0;0.0;0.0;0.0;1;0;1;1;0;0
110000.0;1;48;1.0;-2.0;0.0;0.0;0.0;0.0;0;1;0;1;0;0
20000.0;1;27;0.0;0.0;19115.0;18962.0;1404.0;1130.0;0;0;1;0;0;1
20000.0;2;23;1.0;-2.0;0.0;0.0;0.0;0.0;0;0;1;0;0;1
200000.0;3;52;0.0;0.0;110151.0;99530.0;3568.0;3585.0;0;0;1;0;0;1
50000.0;2;51;0.0;0.0;3347.0;3899.0;1000.0;1066.0;1;0;1;1;0;0
30000.0;1;23;1.0;-2.0;4000.0;5645.0;5645.0;3508.0;0;1;0;0;0;1
240000.0;1;41;1.0;-1.0;95.0;2622.0;2622.0;3301.0;0;0;1;0;0;1
30000.0;2;22;0.0;0.0;28452.0;26145.0;2000.0;1400.0;0;1;0;0;0;1
240000.0;2;34;0.0;0.0;10674.0;12035.0;1500.0;1800.0;0;0;1;1;0;0
150000.0;1;27;0.0;0.0;17444.0;19342.0;2500.0;3000.0;0;0;1;0;0;1
210000.0;2;33;0.0;0.0;7166.0;7997.0;1500.0;1500.0;0;1;0;1;0;0
50000.0;3;51;-1.0;-1.0;752.0;300.0;300.0;5880.0;1;1;0;1;0;0
50000.0;1;24;0.0;0.0;50801.0;50143.0;2360.0;1700.0;0;0;1;0;0;1
240000.0;1;47;1.0;-2.0;0.0;0.0;0.0;0.0;1;0;1;0;0;1
180000.0;2;28;-1.0;-1.0;1832.0;0.0;0.0;416.0;0;0;1;0;0;1
170000.0;2;29;-2.0;-2.0;12159.0;10000.0;10000.0;10000.0;0;0;1;0;0;1
50000.0;1;28;0.0;0.0;4999.0;5913.0;1000.0;1500.0;0;0;1;0;0;1
170000.0;2;27;0.0;0.0;19269.0;20313.0;1661.0;1200.0;1;1;0;0;0;1
140000.0;2;32;0.0;0.0;86627.0;78142.0;3455.0;3110.0;0;0;1;1;0;0
350000.0;1;41;1.0;-1.0;208.0;2906.0;2906.0;1000.0;0;0;1;0;0;1
30000.0;3;26;0.0;0.0;9014.0;10406.0;1700.0;1500.0;0;1;0;0;0;1
140000.0;1;34;0.0;0.0;23944.0;28049.0;5000.0;5000.0;0;0;1;1;0;0
200000.0;1;37;0.0;0.0;105420.0;102870.0;4000.0;3250.0;0;1;0;0;0;1
290000.0;3;47;-1.0;-1.0;1234.0;396.0;396.0;396.0;0;0;1;1;0;0
60000.0;2;46;0.0;0.0;21148.0;23803.0;3000.0;1500.0;0;1;0;1;0;0
110000.0;1;27;0.0;0.0;101640.0;104795.0;5500.0;3900.0;0;1;0;0;0;1
90000.0;2;35;0.0;0.0;72112.0;73854.0;3500.0;3500.0;0;1;0;1;0;0
50000.0;2;22;0.0;0.0;28040.0;29092.0;1510.0;1442.0;0;1;0;0;0;1
270000.0;2;37;0.0;0.0;37695.0;33397.0;5000.0;2000.0;0;0;1;0;0;1
300000.0;1;30;-1.0;-1.0;688.0;3280.0;3288.0;0.0;0;1;0;0;0;1
50000.0;1;24;1.0;-2.0;-709.0;-709.0;0.0;0.0;1;1;0;0;0;1
360000.0;1;29;1.0;-2.0;0.0;0.0;0.0;77.0;0;0;1;0;0;1
80000.0;1;30;-2.0;-1.0;6187.0;100.0;504.0;500.0;0;0;1;0;0;1
20000.0;2;22;0.0;0.0;16001.0;12622.0;1212.0;1201.0;0;1;0;0;0;1
80000.0;2;29;0.0;0.0;77883.0;81811.0;5800.0;1000.0;0;1;0;1;0;0
60000.0;2;24;0.0;0.0;58024.0;57891.0;2500.0;1600.0;1;1;0;1;0;0
20000.0;2;25;0.0;0.0;10642.0;11677.0;1200.0;1593.0;0;0;1;0;0;1
130000.0;2;34;1.0;-1.0;0.0;5396.0;5396.0;5000.0;0;1;0;1;0;0
310000.0;1;32;0.0;0.0;59901.0;62147.0;10020.0;6031.0;0;0;1;0;0;1
180000.0;1;29;-1.0;-1.0;11386.0;199.0;199.0;0.0;0;1;0;0;0;1
50000.0;2;36;0.0;0.0;47790.0;18114.0;2000.0;1000.0;0;0;1;1;0;0
150000.0;2;34;-2.0;-2.0;0.0;0.0;0.0;0.0;0;1;0;1;0;0
20000.0;1;22;0.0;0.0;18553.0;19446.0;1500.0;1032.0;0;1;0;0;0;1
500000.0;1;34;-2.0;-2.0;412.0;138.0;138.0;2299.0;0;1;0;1;0;0
180000.0;1;38;-2.0;-2.0;750.0;0.0;0.0;0.0;0;1;0;1;0;0
120000.0;2;26;0.0;0.0;107314.0;110578.0;5000.0;5000.0;0;0;1;0;0;1
100000.0;1;47;-1.0;-1.0;390.0;1473.0;1473.0;390.0;0;0;1;1;0;0
210000.0;2;41;-1.0;-1.0;3088.0;1586.0;1586.0;343.0;1;1;0;1;0;0
80000.0;2;24;0.0;0.0;81625.0;81554.0;3200.0;3000.0;1;1;0;0;0;1
330000.0;1;50;-1.0;-1.0;8872.0;4337.0;4345.0;2854.0;0;1;0;1;0;0
220000.0;1;24;0.0;0.0;105607.0;108917.0;5000.0;5050.0;0;0;1;0;0;1
210000.0;1;38;1.0;-2.0;0.0;0.0;0.0;250.0;1;1;0;1;0;0
40000.0;3;43;0.0;0.0;38257.0;38901.0;1700.0;1504.0;0;1;0;1;0;0
30000.0;2;39;0.0;0.0;28347.0;28108.0;3036.0;2309.0;0;0;1;0;0;1
30000.0;3;42;-1.0;-1.0;390.0;390.0;390.0;390.0;0;0;1;1;0;0
240000.0;2;36;1.0;-2.0;-946.0;-946.0;0.0;0.0;1;1;0;1;0;0
310000.0;1;38;-1.0;-1.0;1424.0;4542.0;4542.0;126.0;0;1;0;0;0;1
170000.0;1;28;0.0;0.0;130370.0;131199.0;6530.0;4860.0;0;1;0;0;0;1
350000.0;3;44;-1.0;-1.0;3265.0;2686.0;2686.0;1864.0;0;0;1;1;0;0
20000.0;2;37;0.0;0.0;16455.0;16511.0;1609.0;3000.0;0;0;1;1;0;0
50000.0;1;24;0.0;0.0;35084.0;35796.0;2090.0;2002.0;0;1;0;0;0;1
50000.0;2;26;0.0;0.0;102800.0;0.0;0.0;0.0;0;0;1;1;0;0
60000.0;2;33;0.0;0.0;58203.0;36367.0;1506.0;1298.0;0;1;0;1;0;0
80000.0;1;35;-1.0;-1.0;7988.0;3977.0;3983.0;6853.0;0;0;1;0;0;1
150000.0;2;27;0.0;0.0;127402.0;110050.0;4500.0;1745.0;0;1;0;0;0;1
210000.0;1;31;-2.0;-2.0;1440.0;0.0;0.0;7422.0;0;1;0;0;0;1
140000.0;2;41;0.0;0.0;19346.0;21708.0;3000.0;2000.0;1;1;0;0;1;0
50000.0;1;39;0.0;0.0;47174.0;47974.0;1800.0;2000.0;0;0;1;0;0;1
50000.0;2;27;0.0;0.0;26655.0;27724.0;1800.0;1750.0;0;1;0;0;0;1
180000.0;1;32;-1.0;-1.0;3139.0;5853.0;2821.0;0.0;0;1;0;0;0;1
30000.0;1;40;-1.0;-1.0;142.0;215.0;355.0;120.0;0;1;0;0;0;1
20000.0;2;40;0.0;0.0;19816.0;20396.0;1601.0;2203.0;0;1;0;0;0;1
250000.0;2;75;0.0;-1.0;52874.0;1631.0;1631.0;1536.0;0;1;0;1;0;0
100000.0;2;27;0.0;0.0;37767.0;34457.0;1788.0;1799.0;0;1;0;0;0;1
330000.0;1;25;0.0;0.0;46140.0;45781.0;2504.0;4007.0;0;0;1;0;0;1
50000.0;3;46;0.0;0.0;35713.0;15392.0;1561.0;1268.0;0;0;1;1;0;0
30000.0;2;28;0.0;0.0;29242.0;29507.0;5006.0;1244.0;0;0;1;0;0;1
140000.0;2;26;0.0;0.0;101551.0;105246.0;5366.0;5087.0;1;1;0;0;0;1
160000.0;1;28;0.0;0.0;70243.0;47779.0;7042.0;2000.0;0;1;0;0;0;1
400000.0;2;29;-1.0;0.0;19532.0;3719.0;3127.0;1469.0;0;1;0;0;0;1
50000.0;2;25;0.0;0.0;27699.0;28513.0;1565.0;1393.0;0;0;1;1;0;0
140000.0;2;48;0.0;-1.0;1154.0;1233.0;1233.0;1075.0;0;1;0;1;0;0
160000.0;2;33;-1.0;-1.0;8015.0;2453.0;2453.0;9880.0;0;1;0;1;0;0
100000.0;3;43;0.0;0.0;62170.0;0.0;0.0;0.0;0;1;0;1;0;0
50000.0;2;29;0.0;0.0;49276.0;35100.0;1602.0;1400.0;0;0;1;0;0;1
160000.0;1;38;-1.0;-1.0;4473.0;4664.0;4664.0;5969.0;0;1;0;1;0;0
80000.0;1;37;-1.0;-1.0;10115.0;249.0;258.0;5995.0;0;1;0;0;0;1
150000.0;2;25;-1.0;-1.0;6156.0;0.0;0.0;0.0;0;1;0;1;0;0
10000.0;3;23;0.0;0.0;6974.0;7838.0;1134.0;1298.0;0;0;1;0;0;1
130000.0;3;49;0.0;0.0;89003.0;91362.0;4100.0;3095.0;1;1;0;0;0;1
40000.0;1;48;0.0;0.0;34871.0;34449.0;1600.0;1600.0;0;1;0;0;0;1
100000.0;3;32;0.0;0.0;70003.0;31545.0;2035.0;2004.0;0;0;1;0;0;1
260000.0;1;58;1.0;-2.0;0.0;0.0;0.0;0.0;1;1;0;0;0;1
200000.0;2;33;0.0;0.0;11253.0;12852.0;2000.0;1322.0;0;1;0;0;0;1
360000.0;2;28;-2.0;-2.0;0.0;0.0;0.0;0.0;1;1;0;0;0;1
50000.0;1;26;-1.0;-1.0;1156.0;316.0;316.0;316.0;0;1;0;0;0;1
50000.0;3;33;0.0;0.0;50859.0;50462.0;2007.0;2199.0;0;0;1;1;0;0
250000.0;2;31;0.0;0.0;103109.0;102594.0;4000.0;4500.0;0;1;0;1;0;0
30000.0;1;27;0.0;0.0;1512.0;2458.0;1000.0;664.0;0;1;0;0;0;1
270000.0;2;44;0.0;0.0;127543.0;109189.0;10063.0;5162.0;0;0;1;1;0;0
100000.0;1;28;0.0;0.0;53494.0;52656.0;4173.0;3000.0;0;1;0;0;0;1
240000.0;2;46;0.0;0.0;8751.0;9900.0;1295.0;1000.0;0;1;0;1;0;0
280000.0;1;33;-1.0;-1.0;898.0;898.0;898.0;325.0;1;0;1;0;0;1
50000.0;2;22;1.0;-2.0;0.0;0.0;0.0;0.0;1;1;0;0;0;1
10000.0;2;27;0.0;0.0;7015.0;10227.0;3507.0;0.0;1;0;1;0;0;1
130000.0;1;29;1.0;-2.0;0.0;0.0;0.0;0.0;0;0;1;0;0;1
120000.0;2;29;-1.0;-1.0;1686.0;657.0;657.0;2319.0;0;1;0;1;0;0
210000.0;2;36;0.0;0.0;143225.0;142996.0;6483.0;5082.0;0;1;0;1;0;0
