Keyword;Count
cognitive psychology;8
cognitive science;9
explainability;80
explanation;38
human observers;3
interpretability;201
social expectations;3
social psychology;3
game theory;19
machine learning;335
medical problems;4
polynomial approximation;3
chronic kidney disease;2
machine learning models;141
machine learning problem;1
nonlinear interactions;1
nonlinear predictive models;1
polynomial-time algorithms;2
risk characteristics;1
learning systems;152
best practices;1
complex machines;10
future research directions;6
internal systems;1
level of detail;2
thought process;2
training data;16
medicine;2
artificial intelligence in medicine;1
causability;4
fundamental concepts;3
histopathology;4
human centricities;1
machine learning methods;18
probabilistic learning;1
human computer interaction;31
ai applications;9
ai systems;72
end users;12
evaluation framework;7
explanation interfaces;7
human users;22
task performance;6
autonomous decision;2
critical applications;7
diverse range;1
artificial intelligence;210
review;9
computation theory;6
decision theory;4
human engineering;16
speech intelligibility;4
user centered design;6
application specific;1
clinical decision making;8
clinical diagnostic tool;1
cognitive patterns;1
conceptual frameworks;6
design and development;2
explanations;10
human decision making;8
image processing;18
learning algorithms;67
medical education;1
medical information systems;2
natural language processing systems;40
black boxes;148
complex pattern;1
explainable artificial intelligence (xai);39
images processing;2
machine decisions;2
medical practice;3
medical research;2
performance;50
surveys;25
automated pattern recognition;3
human;129
procedures;12
questionnaire;4
humans;79
image processing, computer-assisted;8
neural networks, computer;16
pattern recognition, automated;2
complex networks;12
diagnosis;56
expert systems;9
extraction;25
network architecture;27
neural networks;52
problem solving;8
scaffolds;3
contextual adaptations;1
high dimensional spaces;1
high performance systems;1
learning capabilities;3
natural consequences;1
probabilistic reasoning;1
uncertainty handling;1
concrete pavements;3
decision making;147
ai algorithms;9
decision making process;21
decision process;14
news articles;3
perceived performance;1
understandability;17
user behaviors;3
application scenario;6
comparative evaluations;2
extensive simulations;1
interpretation methods;10
problem-solving abilities;1
representative selection;1
theoretical foundations;6
information fusion;3
knowledge acquisition;2
conceptual knowledge;1
counterfactuals;88
feature representation;5
graph neural networks;16
knowledge basis;2
medical domains;11
reverse engineering;2
safety engineering;19
binary analysis;1
binary code analysis;1
classification decision;13
classification errors;2
decision boundary;8
its applications;8
modeling behavior;5
security application;1
deep learning;280
medical imaging;48
explainable ai;301
human expert;8
learning methods;9
learning models;65
medical diagnostics;6
medical image analysis;3
xai;124
diseases;22
nearest neighbor search;13
patient treatment;11
query processing;5
user interfaces;41
visualization;26
breast cancer;6
breast cancer managements;1
case-based reasoning approaches;3
casebased reasonings (cbr);13
classification accuracy;8
data driven decision;3
multi-dimensional scaling;1
visual explanation;7
case based reasoning;6
algorithm;32
article;79
data visualization;13
decision support system;8
k nearest neighbor;5
multidimensional scaling;1
priority journal;9
psychology;2
automation;15
breast tumor;2
female;39
algorithms;24
breast neoplasms;2
multilayer neural networks;27
artificial intelligence learning;3
domain experts;19
explainable artificial intelligence;224
human intervention;2
human–artificial intelligence interface;1
layer-wise;15
machine-learning;131
problem-solving;3
system causability scale;1
calibration;2
decision support systems;46
transparency;46
conidence;1
decision outcome;2
decision supports;22
individual strength;1
joint performance;1
model informations;1
research communities;14
trust;25
decision trees;67
genetic algorithms;8
intelligent systems;43
trees (mathematics);13
decision rules;3
decision systems;7
explanation rules;1
local classifier;1
prediction algorithms;2
sophisticated machines;3
big data;5
data privacy;8
ontology;11
security of data;2
stochastic systems;5
black box solution;1
general data protection regulations;15
knowledge extraction;4
logical approaches;2
research institutes;1
safety and securities;1
statistical approach;1
statistical learning;3
military operations;2
personnel training;7
program processors;1
software engineering;6
computer games;4
full spectrum command (fsc);1
military simuations;1
video games;1
computer vision;21
pixels;8
automatic deletions;1
benchmark datasets;6
class probabilities;1
extraction method;2
input and outputs;3
internal network;1
state of the art;71
mathematical models;1
military applications;3
simulators;1
software prototyping;1
expert system;3
military simulations;1
soft skills;2
virtual humans;1
data structures;3
earth atmosphere;1
flow visualization;3
object oriented programming;1
predictive analytics;33
tools;1
vector spaces;6
automatic translation;1
large-scale models;1
predictive models;50
real-world sequences;1
sequence prediction;1
translation process;1
visual analytics;16
visual debugging;2
control variable;3
hybrid recommender systems;2
intelligent user interfaces;5
mixed modeling;3
personalized recommendation;2
presentation formats;2
probabilistic graphical models;2
user personalities;2
social computing;2
critical evaluation;1
descriptors;3
desiderata;1
key dimensions;1
systematic assessment;1
work sheet;1
agent systems;1
entire system;2
objective and subjective measures;2
