Subject area;Count
Computer Science;226
Engineering;122
Medicine;61
Health Professions;10
Biochemistry, Genetics and Molecular Biology;24
Materials Science;16
Physics and Astronomy;18
Social Sciences;150
Arts and Humanities;16
Chemical Engineering;11
Mathematics;55
Chemistry;13
Environmental Science;21
Energy;15
Immunology and Microbiology;3
Psychology;10
Decision Sciences;24
Neuroscience;11
Business, Management and Accounting;15
Economics, Econometrics and Finance;7
Earth and Planetary Sciences;15
General;8
Agricultural and Biological Sciences;10
Dentistry;1
